threshold,precision,recall
0.19494097539709793,0.9585253456221198,0.08383716243450222
0.19384393230295413,0.958904109589041,0.08464328899637243
0.19381216694630038,0.9592760180995475,0.08544941555824265
0.1936339285351242,0.9596412556053812,0.08625554212011285
0.19309988781657642,0.96,0.08706166868198308
0.19234360047694204,0.960352422907489,0.08786779524385328
0.1922764957570108,0.9605263157894737,0.08827085852478839
0.19220619359281307,0.9608695652173913,0.08907698508665861
0.19187453015240055,0.9612068965517241,0.08988311164852882
0.19158238041632203,0.9615384615384616,0.09068923821039904
0.19096035113537912,0.961864406779661,0.09149536477226924
0.18949766068086413,0.9537815126050421,0.09149536477226924
0.18925983975730237,0.9541666666666667,0.09230149133413947
0.18911060757459652,0.9545454545454546,0.09310761789600967
0.18889919329732524,0.9549180327868853,0.09391374445787988
